2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] LYNUSDT | usage=3552.83% | current_oi=17764174.12 | limit=500000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MAGICUSDT | usage=13101.45% | current_oi=39304357.725 | limit=300000.0 | threshold=95.00% | source=leverageMargins[1022].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MAGMAUSDT | usage=624.06% | current_oi=6240606.04 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MANAUSDT | usage=220.81% | current_oi=12365521.5 | limit=5600000.0 | threshold=95.00% | source=leverageMargins[1005].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MANTAUSDT | usage=8592.29% | current_oi=13962465.77 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1010].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MASKUSDT | usage=212.42% | current_oi=1412603.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MAVIAUSDT | usage=3009.53% | current_oi=20013369.3 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MAVUSDT | usage=21512.20% | current_oi=143056113.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MBOXUSDT | usage=21064.59% | current_oi=140079503.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MELANIAUSDT | usage=1890.85% | current_oi=4632594.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MEMEUSDT | usage=146498.38% | current_oi=974214244.91 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] MERLUSDT | usage=7658.41% | current_oi=18763105.65 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1032].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] METISUSDT | usage=127.78% | current_oi=207635.14 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1010].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] METUSDT | usage=3299.67% | current_oi=8084181.2 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
